Sub_Category,MAE,RMSE
Artifical Plants,44.75016902813209,55.25397898793439
Beds,1589.5765721683813,2179.107999925271
Ceiling Lights,443.76399316802855,603.2512449572266
Chandeliers,881.4754146768473,1137.4362279555253
Dining Table,3464.885567380197,4165.544674391671
Floor Lamps,385.6510313778928,443.78091815797353
Hanging Lights,319.2551194780451,351.8967970404031
Recliner Sofas,4945.666858873786,5881.357775603759
Showpieces,848.3966008754822,1045.6038568207473
Sofa Cum Beds,985.1443644953475,1161.7039188792196
Sofa Sets,999.1321890115269,1180.1670028778997
Stone,7.444148043646628,9.114000600106658
Study Table,420.45402635248155,500.62615508547185
Tile,1.6063573683632317,2.000484804179512
Tiles,1.8278371468160017,2.3322789211151322
Vases,148.77996799322673,188.10781790899105
Vinyl,2.413772153706198,2.6650400313751423
Wall Decor,540.4243104966298,617.0174912139751
Wall Lights,136.65135397890901,152.20350224882458
Wardrobes,1294.9651635362322,1504.448908062985
Wood,1.3488376980677188,1.5984802694218532
