ds,yhat,yhat_lower,yhat_upper
2022-01-01,32737.436104112883,32410.81833965068,33103.0712871827
2022-02-01,33606.55413358483,33254.18670784175,33945.17000751102
2022-03-01,34465.24336997915,34112.37867164837,34798.637315358836
2022-04-01,34967.460738150134,34631.650682001964,35325.1240467848
2022-05-01,35124.0230422391,34761.57675163819,35482.08430786358
2022-06-01,34677.98872830228,34330.99146167399,35065.74411243507
2022-07-01,34293.299799197295,33938.120653508646,34619.40886994462
2022-08-01,34199.189265442226,33859.14517447933,34539.544145574095
2022-09-01,33929.165009401,33582.42697810784,34258.569767484136
2022-10-01,33990.66265510228,33647.68159198074,34338.635629952434
2022-11-01,34221.85273940537,33882.78668997614,34571.98324552164
2022-12-01,35053.02649316529,34699.667147723594,35404.515953898
2023-01-01,35641.03179167733,35284.462838440486,35998.213873393586
2023-02-01,36305.435547249646,35953.46668484487,36641.25710850467
2023-03-01,37256.549729134924,36901.634781818946,37622.40802386773
2023-04-01,37873.198898281014,37503.21402969366,38201.350185651856
2023-05-01,37899.97652691901,37544.41639303038,38276.712064711646
2023-06-01,37613.664931798216,37285.562387833,37981.90425494384
2023-07-01,37121.721160030334,36781.49929452879,37480.67786039026
2023-08-01,37158.0094832452,36786.18467406197,37496.710669783424
2023-09-01,36702.64766748509,36354.49639843263,37043.052707016155
2023-10-01,36716.42110690419,36379.573230010996,37045.644633631084
2023-11-01,36993.99235324559,36670.63759028073,37350.133833287604
2023-12-01,38128.156266232894,37775.3055352661,38483.06537817595
2024-01-01,38550.80714118159,38211.114173044116,38914.89856284102
2024-02-01,39010.91424415888,38674.778597704884,39343.58923715675
2024-03-01,40257.280448531645,39935.41294793274,40600.5468965159
2024-04-01,40531.98068961316,40179.52669617486,40870.97233924161
2024-05-01,40953.12087111857,40586.18801841204,41299.62271001638
2024-06-01,40193.0452656268,39862.53427878404,40536.0654307187
2024-07-01,40023.11675246122,39657.13494097684,40386.248569048286
2024-08-01,39667.000012639626,39316.689385741905,40028.30506668189
2024-09-01,39765.17978718452,39422.83799530794,40103.83518582875
2024-10-01,39947.32932330224,39600.449795021115,40302.81536982988
2024-11-01,40112.288044120425,39765.10946042837,40454.18763371593
2024-12-01,40338.403538905484,39971.834562938646,40685.96743587804
2025-01-01,41249.345388052665,40877.96523100711,41602.216989803695
2025-02-01,42341.62413902315,42014.34569396425,42711.08803005465
2025-03-01,43127.85124396626,42762.926078796576,43501.89522735469
2025-04-01,43530.55113943427,43187.69527349565,43878.504033117446
2025-05-01,43832.356463227756,43471.97324444439,44170.737682900224
2025-06-01,43242.58173590868,42881.22249665269,43592.11243173469
2025-07-01,42978.40816871383,42629.67647433167,43333.46681220841
2025-08-01,42766.88219898841,42417.24584528076,43120.17307234138
2025-09-01,42694.083395003734,42351.45678407087,43047.23754809658
2025-10-01,42819.90004365701,42492.74415015029,43160.1012885438
2025-11-01,43021.947405667735,42676.62453614909,43397.38640163164
2025-12-01,43558.470519291746,43234.199705002386,43904.18768234735
2026-01-01,44317.70900871799,43984.603182271625,44638.7554206836
2026-02-01,45201.338508767454,44835.85942646785,45507.0905763469
2026-03-01,46073.13487987537,45715.1677440711,46420.25178120443
2026-04-01,46589.86371025447,46234.723017260025,46937.17993741902
2026-05-01,46760.20420057352,46385.16883854055,47093.16597538666
2026-06-01,46328.407345739804,45963.61541216166,46677.37390682602
2026-07-01,45957.01316434991,45593.66813958786,46305.583273661745
2026-08-01,45876.64053656638,45521.70678887464,46209.3850209389
2026-09-01,45619.59110811198,45264.331538192186,45967.57207364207
2026-10-01,45693.31035621773,45328.50877664543,46044.428870875236
2026-11-01,45937.12942967044,45597.92509899959,46289.87933650481
2026-12-01,46780.51516804291,46443.679566528364,47117.967620536794
2027-01-01,47381.13951732002,47034.683036769355,47715.70020347006
2027-02-01,48058.162322598546,47729.35409874357,48382.40730631319
2027-03-01,49020.67287907065,48641.84172230375,49350.26772445708
2027-04-01,49649.93946294233,49301.65637058333,49990.50820504651
2027-05-01,49688.927477254794,49329.51223804726,50034.60757793243
2027-06-01,49415.233280664324,49072.60858591888,49780.26625746521
