ds,yhat,yhat_lower,yhat_upper
2022-01-01,6301.461332385299,6198.499138981681,6400.846109804224
2022-02-01,6497.067532423098,6394.298675462224,6593.505364915837
2022-03-01,6607.143322988315,6507.562936696695,6708.941042902263
2022-04-01,6871.84002778565,6771.452620498088,6970.261415377412
2022-05-01,6795.166677653068,6698.332478947363,6897.735475918561
2022-06-01,6762.982204943418,6656.787337583491,6856.643386860518
2022-07-01,6509.3674884888505,6413.042940671577,6612.972919821013
2022-08-01,6503.101258786569,6402.322882825574,6597.723830499779
2022-09-01,6363.148008621568,6262.119744309018,6466.111937740808
2022-10-01,6333.127072024851,6228.211518225032,6432.570358410852
2022-11-01,6294.858339255651,6197.066931641943,6396.9567913599585
2022-12-01,6579.2877213517495,6478.584436682202,6675.881895153
2023-01-01,6901.440585330436,6797.625120694185,7004.555273089425
2023-02-01,7189.979480476252,7093.031603361699,7293.632549664429
2023-03-01,7102.754030367191,7000.924220572904,7203.863210906123
2023-04-01,7481.05632995459,7387.988390471843,7581.447963063267
2023-05-01,7302.716973183573,7202.884021110117,7403.889970389608
2023-06-01,7391.732487618716,7292.585930383287,7491.180743069738
2023-07-01,7026.637919939038,6928.924676730973,7127.841546616405
2023-08-01,7095.098473389349,7006.958042407293,7193.098738462199
2023-09-01,6906.172799767783,6810.692419865888,7011.083279918595
2023-10-01,6850.995163728641,6759.719275423798,6949.39557896153
2023-11-01,6750.90138027492,6651.8445730326,6854.471119841997
2023-12-01,7097.8154112730645,6995.0281406384465,7199.537393040534
2024-01-01,7406.6679106396405,7307.919758224558,7506.8480717651555
2024-02-01,7777.432444829209,7681.5103862739925,7878.879366041839
2024-03-01,7870.014357711861,7768.775383942183,7963.893423976488
2024-04-01,7884.352107699793,7784.1239556573855,7980.205854329535
2024-05-01,7987.20376635231,7885.9844820280705,8078.9354726589645
2024-06-01,7685.729014929984,7586.159370184386,7789.38559072831
2024-07-01,7627.612122451471,7522.492241613274,7726.992336882213
2024-08-01,7445.802932365732,7343.860134612417,7544.020415684339
2024-09-01,7373.612086640926,7275.141759153628,7470.766369227366
2024-10-01,7367.863593624835,7267.962517519251,7470.575589863931
2024-11-01,7430.928635971279,7334.063949311532,7531.629447756667
2024-12-01,7568.144109046424,7471.164782843633,7668.485451332279
2025-01-01,7890.160843783163,7791.754062989079,7986.4325139694965
2025-02-01,7981.758941110383,7887.136939735202,8083.634279758551
2025-03-01,8273.192188426929,8175.543144300833,8370.83667734277
2025-04-01,8407.762571287287,8310.336434954455,8508.665239300517
2025-05-01,8416.337561469993,8313.966900398931,8513.909228411314
2025-06-01,8245.17486059733,8148.562301385733,8350.810134350018
2025-07-01,8085.408864992919,7985.1991823209655,8191.703813720259
2025-08-01,7986.918569369349,7889.626299888907,8079.564411260022
2025-09-01,7877.1064862173625,7774.845964918145,7975.388254453282
2025-10-01,7855.080549600933,7753.7009968882985,7953.151436813923
2025-11-01,7862.433693212384,7759.427961163815,7963.780373672428
2025-12-01,8068.471667678177,7964.618378311278,8169.307401341934
2026-01-01,8386.251137620278,8293.029802755424,8483.177745502566
2026-02-01,8573.143986895271,8473.078713034958,8671.346381002391
2026-03-01,8675.349654191205,8568.557286807394,8774.659935244015
2026-04-01,8931.333008169164,8825.773808751746,9027.70641681821
2026-05-01,8846.22738308531,8743.195613515696,8942.486022927851
2026-06-01,8805.329559593487,8707.853331421873,8906.58692217127
2026-07-01,8543.28256813063,8439.624064837268,8639.844918305496
2026-08-01,8528.302987587993,8428.126005485887,8627.774881615225
2026-09-01,8379.636386574364,8282.518751714279,8477.442606558887
2026-10-01,8341.183175030847,8244.128940173418,8438.438373686275
2026-11-01,8294.201091482959,8193.28423364317,8392.608434619848
2026-12-01,8570.19847962069,8470.88046144181,8671.87433227403
2027-01-01,8883.638283176397,8784.278242178194,8982.013701742808
2027-02-01,9163.61166128556,9062.277817499526,9253.077840022543
2027-03-01,9076.568005827176,8978.11892163347,9172.603303531232
2027-04-01,9455.071578065248,9353.57985420734,9552.94063340592
2027-05-01,9276.927084048868,9179.539125233356,9376.184486975673
2027-06-01,9366.143956662543,9267.42530942347,9464.747502127275
