ds,yhat,yhat_lower,yhat_upper
2022-01-01,10112.019175367568,9890.32755107494,10338.87792784629
2022-02-01,10567.648517988344,10361.075043670724,10781.357919123258
2022-03-01,10987.608796707722,10755.090700711535,11200.598128837488
2022-04-01,11114.656081281219,10901.43658243905,11338.529119608173
2022-05-01,11108.86752552957,10892.479623596553,11316.00564429284
2022-06-01,10712.769195811952,10512.856699249412,10916.308577568725
2022-07-01,10469.781548236604,10264.370971079854,10692.683197512491
2022-08-01,10332.137554804909,10117.6969830885,10560.667256542796
2022-09-01,10278.595925955706,10063.986445344344,10507.676711241545
2022-10-01,10173.040318371797,9980.090589480666,10385.08992836788
2022-11-01,10290.136467185444,10063.95636445692,10496.631585897228
2022-12-01,10807.521498626917,10573.22830362666,11025.09782326467
2023-01-01,11025.753437777825,10813.874723830753,11243.444418892695
2023-02-01,11440.115378836615,11237.895496461764,11654.55121497704
2023-03-01,11661.176518084809,11440.556908273684,11880.033774962945
2023-04-01,11956.709528476305,11741.3293933107,12162.312514420244
2023-05-01,11918.210199158333,11693.95487555854,12135.446352494371
2023-06-01,11589.555436416185,11391.103697999399,11816.4185159111
2023-07-01,11382.269425334975,11169.320305947827,11594.238813064405
2023-08-01,11137.934201918672,10938.415829735328,11337.508833306645
2023-09-01,11026.025588051225,10811.127045420528,11241.811184044072
2023-10-01,10980.625523249097,10768.322629930413,11194.77558862818
2023-11-01,11086.451995466778,10873.976476634445,11295.288881981578
2023-12-01,11662.150763817255,11447.642984771483,11879.833036127113
2024-01-01,11939.229228969278,11736.111336535816,12165.512589352975
2024-02-01,12309.227578050723,12098.30281093891,12530.842845196692
2024-03-01,12938.481386618478,12730.037346963152,13153.351628267948
2024-04-01,12736.052047872014,12527.465470929164,12951.178299535737
2024-05-01,12794.231746551182,12577.068108422334,13000.601729972203
2024-06-01,12263.407680796985,12056.891981201068,12497.47386912858
2024-07-01,11939.898470531056,11722.085096429984,12160.538618340168
2024-08-01,12011.179010388341,11804.766754671995,12217.43989148654
2024-09-01,12080.733897427104,11859.270334252302,12301.180402462262
2024-10-01,11860.448949566962,11642.456702581745,12071.465894012914
2024-11-01,12001.876756973508,11779.016987784435,12210.18290409444
2024-12-01,12403.113799215103,12194.884811103573,12607.48303344616
2025-01-01,12497.292904550603,12284.731913578391,12717.952405769276
2025-02-01,12990.918022982107,12776.888105177186,13218.038827518894
2025-03-01,13612.56811406211,13393.977487860957,13837.944929494208
2025-04-01,13573.467598545933,13351.858216521066,13771.076748190757
2025-05-01,13599.713082184251,13382.338856898008,13836.654359522814
2025-06-01,13136.007082108341,12911.922924687282,13360.597386278103
2025-07-01,12854.082652769779,12630.756014920533,13067.111923095807
2025-08-01,12821.497258158734,12599.974257294913,13030.211482544897
2025-09-01,12828.28318879248,12616.790277542721,13051.709090403541
2025-10-01,12664.240096782445,12440.25683035249,12880.267445296433
2025-11-01,12793.012794957227,12572.455476591773,13006.167277950519
2025-12-01,13252.060023787926,13020.404991323265,13452.628465575426
2026-01-01,13409.145999611901,13187.629908462755,13615.102236942956
2026-02-01,13864.58500775881,13646.345671613852,14076.689173196939
2026-03-01,14284.37337146867,14069.40394064008,14491.923508989947
2026-04-01,14411.230321386938,14223.649729278615,14625.776777886987
2026-05-01,14405.257570797792,14192.561940664662,14615.970375189161
2026-06-01,14008.96890641462,13788.888020180711,14241.730431239386
2026-07-01,13765.797063680164,13556.334173726127,13969.602557417486
2026-08-01,13627.962735251878,13419.748642924458,13845.732380893165
2026-09-01,13574.230771792398,13348.701287432294,13785.899795009826
2026-10-01,13468.49096964835,13242.194131982493,13666.227181533233
2026-11-01,13585.396784081466,13370.992159540552,13823.208401382803
2026-12-01,14102.597621183682,13892.166632923068,14321.501258894568
2027-01-01,14320.639226183433,14121.338636276043,14572.395149219517
2027-02-01,14734.810833613408,14535.129275899648,14943.703170594892
2027-03-01,14955.700058376367,14719.93500437905,15160.323162260433
2027-04-01,15251.042734875806,15036.204885445644,15458.793953045246
2027-05-01,15212.359211355104,14988.85462683103,15432.19811914507
2027-06-01,14883.514114601932,14669.558367684514,15116.29485789022
