ds,yhat,yhat_lower,yhat_upper
2022-01-01,67401.66975699532,66783.69152918222,68042.86925815883
2022-02-01,69401.33364577954,68789.77652607847,70036.07839004237
2022-03-01,70774.57556073935,70119.93008205935,71347.71752638127
2022-04-01,71422.91263611085,70810.95720290512,72062.39569322078
2022-05-01,72209.73526137519,71592.99734146164,72834.84225620059
2022-06-01,71584.95563832216,70968.1050329733,72176.53796416192
2022-07-01,71002.68997634714,70398.39150022977,71613.63736285667
2022-08-01,70489.42280169588,69865.1646481567,71104.40875418749
2022-09-01,69819.80264134263,69177.75300786368,70430.66069919981
2022-10-01,69756.53809732392,69144.16023288826,70416.17398664863
2022-11-01,70899.10627320863,70266.57372084162,71525.07330103513
2022-12-01,72442.00175637388,71833.71779260793,73066.14928079004
2023-01-01,74160.64338854828,73576.25918133579,74819.21185443497
2023-02-01,75909.70512107297,75274.36315162719,76496.77853447897
2023-03-01,77210.29887340547,76592.95739770526,77775.92323270092
2023-04-01,77735.9956930966,77112.45308572608,78332.39263122709
2023-05-01,78768.63351394463,78124.75362469954,79383.39309114595
2023-06-01,77661.33978259069,77042.62442269582,78259.8252724884
2023-07-01,77064.32032068828,76449.53644584323,77703.174808517
2023-08-01,76448.52092239691,75826.26407027198,77067.45223651585
2023-09-01,75841.90753770004,75249.89181472713,76407.8867328571
2023-10-01,75777.37914129795,75153.11140378218,76341.88769326652
2023-11-01,76761.04286447483,76113.44252867249,77374.05168265048
2023-12-01,78325.94529499373,77696.41191264344,78963.7858353362
2024-01-01,80171.9640239497,79572.76737778554,80758.19024687505
2024-02-01,81767.28025834686,81190.645218706,82401.53031496587
2024-03-01,83305.77736331619,82689.11467634869,83967.57283086034
2024-04-01,83930.70242871212,83337.55317301289,84565.97454303529
2024-05-01,83940.92519298257,83306.19163895724,84534.47793620703
2024-06-01,83993.10872463131,83404.03797005297,84622.25858451835
2024-07-01,83187.6078853655,82587.96837342391,83811.46169876368
2024-08-01,82608.38542300511,81992.08580593007,83185.73682800903
2024-09-01,81750.2061798588,81103.16085428375,82368.40282347004
2024-10-01,81624.48004926262,81021.69389929819,82220.37650023405
2024-11-01,83025.67774343662,82369.27560867145,83642.12408194436
2024-12-01,84547.77734430585,83969.72528531578,85184.44569473308
2025-01-01,86020.58510271933,85433.6828227982,86648.26268308422
2025-02-01,88087.78962291019,87451.98245782692,88738.41069339337
2025-03-01,89372.14690327126,88709.2098599508,90019.53299852468
2025-04-01,89964.77037577512,89314.77341119737,90571.91826466675
2025-05-01,90324.53847573897,89704.3511397419,90925.67240807526
2025-06-01,89997.34219108497,89397.73462880572,90621.48309756325
2025-07-01,89260.03615798478,88644.56343635684,89858.18196182713
2025-08-01,88670.54498329574,88033.14798462114,89327.40401921378
2025-09-01,87899.31974208067,87290.8966525224,88543.8257971499
2025-10-01,87800.22065438787,87166.3565143491,88443.8204700991
2025-11-01,89066.07201735763,88442.81162646365,89674.64942615724
2025-12-01,90603.6414431283,89951.0421048211,91221.06543807212
2026-01-01,92207.49987134055,91588.88357022597,92855.25725564483
2026-02-01,94123.65095009982,93529.72224100876,94728.94536228507
2026-03-01,95421.46193987314,94813.06040922998,96008.35776193236
2026-04-01,95986.28620529451,95400.68790054404,96641.16795720994
2026-05-01,96692.28998242522,96080.85461680131,97300.10354710494
2026-06-01,95983.9975496332,95322.10340863581,96570.66278360217
2026-07-01,95321.69222057557,94722.89778702005,95944.70936827622
2026-08-01,94725.71738993963,94106.55587943716,95326.04092581355
2026-09-01,94044.08348844871,93430.37194804705,94690.28877395112
2026-10-01,93970.9093237069,93401.21437328125,94578.46437849075
2026-11-01,95103.23755817939,94487.1732992079,95705.26608828374
2026-12-01,96660.3200910521,96073.10076373587,97306.04126711405
2027-01-01,98393.62167459152,97764.45268933574,99059.46536722904
2027-02-01,100157.38724976768,99527.71457760088,100818.00997026022
2027-03-01,101471.35467338089,100852.02206654788,102076.2271712999
2027-04-01,102011.85805770608,101364.93387221797,102607.33122618466
2027-05-01,103058.8248117977,102444.58126158589,103633.05839035382
2027-06-01,101966.33764479672,101312.49008213726,102645.18422441202
