ds,yhat,yhat_lower,yhat_upper
2022-01-01,5574.966883218239,5490.32417925901,5662.933383080917
2022-02-01,5990.082703433647,5901.814648242809,6076.322202826719
2022-03-01,6029.064734644829,5939.625948728449,6112.576159174946
2022-04-01,6108.299668068654,6025.791711237617,6199.76905743277
2022-05-01,6161.41384242947,6076.4748179280605,6245.219475978027
2022-06-01,6145.894231565543,6057.122199388678,6232.267417985289
2022-07-01,6109.288789854364,6026.799858798285,6196.914063134164
2022-08-01,5793.602415663544,5702.4901515575575,5873.872655037984
2022-09-01,5694.610134897708,5608.312755757497,5778.945442425992
2022-10-01,5821.903341663136,5730.369333991089,5907.1440911372465
2022-11-01,5804.74881608971,5716.277143349927,5891.278211661542
2022-12-01,6019.122294326051,5931.2303198755135,6104.248358311375
2023-01-01,6100.31757820583,6011.842547680439,6185.619577079911
2023-02-01,6465.808674892963,6384.881093482996,6553.153951036792
2023-03-01,6559.543582043731,6477.221452060677,6647.313359732424
2023-04-01,6623.237584946539,6533.985468347617,6715.93681371326
2023-05-01,6624.573256922577,6543.55396120818,6707.281210073282
2023-06-01,6612.2289613915445,6530.122330358915,6702.659909167135
2023-07-01,6652.4685573831475,6560.01347617855,6741.8415667079635
2023-08-01,6233.454997226842,6149.618785205859,6319.977039253066
2023-09-01,6148.261819977183,6059.510282083529,6236.768829550293
2023-10-01,6278.878600858438,6200.1246852030245,6368.9676622563575
2023-11-01,6345.281889713657,6259.6165551205495,6438.822167647598
2023-12-01,6413.609001573561,6331.022376773746,6502.410051234238
2024-01-01,6573.837218805084,6492.978644901732,6661.371183488742
2024-02-01,6894.635823072982,6812.132812217373,6980.065582031025
2024-03-01,6935.852359415067,6850.175277409841,7027.212356615994
2024-04-01,7026.522910640956,6941.058253107283,7116.098873121304
2024-05-01,7168.196309055658,7086.078654232942,7254.690249052571
2024-06-01,7134.098992065925,7041.230546810064,7219.204095327187
2024-07-01,6918.623216814277,6836.869252591535,7005.6533440576895
2024-08-01,6785.407652984648,6700.712828159464,6873.266782136345
2024-09-01,6640.649590860148,6546.159449957702,6727.604142452669
2024-10-01,6742.2508446633665,6654.442529878963,6834.017491123986
2024-11-01,6530.946863848354,6441.333553268757,6622.714671580974
2024-12-01,7029.176903920267,6936.042950487951,7117.372296483146
2025-01-01,6949.033284736197,6864.1600506100285,7035.440774291843
2025-02-01,7396.832998269736,7310.756035628656,7482.988537388038
2025-03-01,7365.913278972255,7282.025078223864,7454.747285000007
2025-04-01,7442.543713914517,7354.839193068345,7528.639409415454
2025-05-01,7531.252952989872,7443.354526403896,7617.909328850191
2025-06-01,7496.90143764271,7403.187794338068,7578.1751291084265
2025-07-01,7365.768842630103,7279.362682753047,7457.1067758939835
2025-08-01,7157.020420752729,7069.191504667934,7246.43022733377
2025-09-01,7049.858859000616,6961.778340982014,7134.88023115897
2025-10-01,7178.849075869013,7086.062406854023,7263.92161004451
2025-11-01,7080.8625374221365,6991.1761644732815,7174.460654852224
2025-12-01,7454.7748179441105,7371.005406036509,7542.697120929678
2026-01-01,7472.567180807135,7383.842476351977,7558.894296883753
2026-02-01,7897.192598986309,7813.633102121444,7983.808810169245
2026-03-01,7944.76394448745,7853.076476062593,8028.937306003813
2026-04-01,8033.508474946194,7941.053147586375,8120.516079342975
2026-05-01,8095.82548440392,8008.372496798191,8176.37802783349
2026-06-01,8089.8154698069375,8003.531228542904,8175.745012217598
2026-07-01,8062.412862568019,7979.078819568402,8151.764890315112
2026-08-01,7756.236083997699,7678.792494899817,7843.849359875089
2026-09-01,7666.796089724652,7585.781504777871,7755.4448235177015
2026-10-01,7803.405969459082,7713.8421790871735,7889.6713249616505
2026-11-01,7795.878672619791,7706.600973188074,7884.191677216162
2026-12-01,8024.386861539564,7936.734112854549,8116.533749201023
2027-01-01,8120.188013125321,8038.759055938804,8221.397846926064
2027-02-01,8500.387147231777,8409.361591548937,8589.498459490214
2027-03-01,8607.501202257201,8519.915077711566,8705.368943830046
2027-04-01,8686.00783316266,8593.143608537373,8781.81310269429
2027-05-01,8701.686210202079,8611.981088154833,8794.825460511209
2027-06-01,8704.162709903134,8610.695510543886,8800.504388758669
