ds,yhat,yhat_lower,yhat_upper
2022-01-01,4681.685856926611,4589.170197738693,4776.424536461391
2022-02-01,4798.356764882918,4698.374504519052,4892.752804772716
2022-03-01,4967.929151906261,4878.846422623143,5059.869825344249
2022-04-01,5096.221679128624,5000.860579349485,5185.527896160225
2022-05-01,4965.187692447626,4872.941816976562,5058.393734029929
2022-06-01,4903.101032488371,4811.863045099406,4993.261959769748
2022-07-01,4899.406462117825,4805.416605863843,4993.218412968978
2022-08-01,4811.200521358089,4720.902748564178,4901.077469169933
2022-09-01,4687.440803143405,4584.1993165615,4776.51307374575
2022-10-01,4712.081707094716,4617.0894238728015,4808.743111836454
2022-11-01,4801.840310509551,4711.1700604578955,4896.0869364843675
2022-12-01,4797.813715613162,4699.2858309153635,4893.1374935064905
2023-01-01,5073.857222225188,4985.201373154654,5166.728789298232
2023-02-01,5169.376689175458,5076.646817003975,5266.95742820311
2023-03-01,5387.289594069987,5294.2327426296415,5486.390401884108
2023-04-01,5505.508404015775,5416.044364904381,5601.985548011234
2023-05-01,5379.758978717483,5286.473793267134,5473.821138476096
2023-06-01,5259.302171679179,5165.349067126758,5352.175849859497
2023-07-01,5305.986269278157,5214.827807958828,5399.858398319929
2023-08-01,5157.765795794667,5070.427755698442,5255.355409055963
2023-09-01,5096.574997515753,5009.581916072592,5190.265090795663
2023-10-01,5109.958345121757,5017.385516765263,5205.694919919726
2023-11-01,5171.873452243428,5072.580674403229,5257.475397150609
2023-12-01,5184.177900699377,5092.858273044253,5281.390693171546
2024-01-01,5438.8857988742875,5340.280361083495,5528.648794078579
2024-02-01,5516.905008609209,5430.010026452293,5605.550415427256
2024-03-01,5707.863288471071,5613.193865533631,5804.479014519562
2024-04-01,5846.130213851325,5753.259816335386,5940.343794076254
2024-05-01,5694.505199401778,5596.5479354082,5785.022889757633
2024-06-01,5742.227860842841,5653.509042710908,5839.186212753401
2024-07-01,5630.775001689037,5538.764816092401,5716.291331966971
2024-08-01,5655.815976705855,5559.539096573368,5744.750393402442
2024-09-01,5400.560978190155,5308.250096973641,5492.5915966854745
2024-10-01,5437.0068541925375,5344.722843626153,5530.20088780908
2024-11-01,5574.779687716976,5483.002915041924,5668.700499292181
2024-12-01,5540.28432960858,5446.438169490734,5637.18256980816
2025-01-01,5860.397509634076,5765.46815559829,5959.670949026024
2025-02-01,5995.967134228571,5904.1709448483225,6093.648400516952
2025-03-01,6114.592597086973,6015.187506561915,6214.196210636167
2025-04-01,6249.146681173665,6156.078800416229,6334.3860417832375
2025-05-01,6109.073975297798,6018.563082943253,6204.349883235656
2025-06-01,6102.633697295422,6007.08713488713,6190.34930255826
2025-07-01,6045.777129896421,5952.521641067106,6134.524507457485
2025-08-01,6014.850507849406,5911.710732637643,6106.328857455847
2025-09-01,5825.927842637772,5735.761541796959,5925.551403257282
2025-10-01,5857.899448695511,5764.111639893988,5955.891505970105
2025-11-01,5972.585701052924,5881.961980768159,6068.5243845418245
2025-12-01,5954.421396457838,5867.1904597030125,6050.933505901253
2026-01-01,6253.772327491708,6158.579970328627,6341.973572574012
2026-02-01,6370.036054996388,6276.559128871977,6465.474381925422
2026-03-01,6539.240666127908,6448.384639863516,6630.280309275527
2026-04-01,6667.1260129249,6574.269888251371,6763.394377054163
2026-05-01,6535.697980715053,6445.297193483958,6629.200098551912
2026-06-01,6473.204140375993,6377.675119532617,6566.192609495606
2026-07-01,6469.115524509696,6372.948319961598,6560.753679059866
2026-08-01,6380.502403404098,6282.35254188145,6471.102424457314
2026-09-01,6256.366784669563,6165.914322851969,6349.3481109758395
2026-10-01,6280.737214718398,6192.929109394224,6369.842601153314
2026-11-01,6370.216328434414,6274.006770138949,6457.88011114595
2026-12-01,6368.384664103373,6276.976139042523,6466.349276612786
2027-01-01,6646.696265632927,6550.354015195361,6742.419950500133
2027-02-01,6744.5417798881645,6651.765605687569,6837.469023521599
2027-03-01,6964.555669632433,6869.392560743939,7058.476648510431
2027-04-01,7085.100569947221,6994.097708402903,7180.621772666637
2027-05-01,6961.602199897485,6869.23683655676,7055.099028289928
2027-06-01,6843.471483283027,6753.472780673786,6931.982311849301
