ds,yhat,yhat_lower,yhat_upper
2022-01-01,156069.76506226428,154352.09153318842,157765.63327036495
2022-02-01,162967.94189838192,161251.31663251435,164688.28835443375
2022-03-01,165133.2223581608,163397.30888982926,166921.86729209663
2022-04-01,165576.38574427078,163978.01217021854,167218.3631021745
2022-05-01,167660.63782907926,165995.78546210364,169337.9955251367
2022-06-01,166863.45350425015,165167.83217635102,168582.88732830837
2022-07-01,164833.69688914224,163153.77918456352,166506.14943469895
2022-08-01,163293.64571067377,161596.93192678073,164918.72803191634
2022-09-01,162284.42061526873,160487.0467795212,163970.60717144824
2022-10-01,163411.29425401526,161625.35788134087,165349.173645739
2022-11-01,162828.03823542065,161096.25823323018,164551.12708740548
2022-12-01,167444.7373097155,165788.61693047598,169085.0956679368
2023-01-01,171063.48406327737,169352.15373320927,172780.86364651143
2023-02-01,176471.93121397556,174829.9950422999,178110.41076849902
2023-03-01,179679.28482313472,177918.80657638665,181343.49347988315
2023-04-01,179107.583313598,177418.3711647768,180730.83680654055
2023-05-01,181179.69038569977,179529.6283893734,182981.2321854346
2023-06-01,180571.20695720494,178876.5847081355,182311.98198879705
2023-07-01,179977.17960539763,178169.57520428934,181696.6229868296
2023-08-01,178439.78491195763,176740.46304693815,180183.99970688578
2023-09-01,176206.63866130527,174431.35142470404,178010.05544080387
2023-10-01,177691.62006669675,175988.68982931995,179373.65152287457
2023-11-01,176461.64587374363,174869.92905038357,178098.29975725274
2023-12-01,181807.38437997494,180121.69146433112,183576.00659454078
2024-01-01,186622.53702629538,184934.87229689857,188239.5054849134
2024-02-01,190515.07439304088,188805.53708429713,192176.87993585417
2024-03-01,192288.94546158097,190622.42876734756,194015.24014354596
2024-04-01,194857.67516524295,193186.83998171613,196585.1409762555
2024-05-01,197148.7613321001,195460.7513320714,198768.5826765602
2024-06-01,196162.26434979157,194478.53164341312,197893.16039783863
2024-07-01,191357.39199251193,189630.0941675301,192983.59802831672
2024-08-01,189820.8202980554,188301.72021541276,191680.55300901365
2024-09-01,191367.4405748942,189817.7330900218,193042.53216799587
2024-10-01,191988.33332619714,190120.47789398817,193705.96023421918
2024-11-01,192929.3971375022,191001.65886313497,194559.7150555076
2024-12-01,196184.25636224062,194509.49098901503,197815.65576324478
2025-01-01,197367.2440832504,195516.23820760575,199106.02086421754
2025-02-01,205797.02057036426,204024.00566937024,207523.03129776672
2025-03-01,207025.32713966066,205414.50619256988,208594.20353692232
2025-04-01,208596.26324876654,206771.732761632,210222.50139978246
2025-05-01,210832.19185732206,209172.36959409376,212495.37212757533
2025-06-01,209990.03355094063,208333.01934930644,211691.52315302077
2025-07-01,206634.63939695773,204911.2825697191,208365.1123452018
2025-08-01,205296.3584737676,203627.99346809767,206921.5750401979
2025-09-01,205749.07280989594,204096.51220681577,207631.6758781866
2025-10-01,206763.56732254566,205069.07368922306,208461.35257538722
2025-11-01,207085.57149353265,205247.72779535336,208860.38111814254
2025-12-01,211153.87744959194,209448.48973717092,212866.77119084026
2026-01-01,213714.21475470572,212064.345352023,215345.47194429277
2026-02-01,220787.43318643112,219035.35435689372,222483.95635296535
2026-03-01,223110.81573253637,221319.32064465163,224702.2258445625
2026-04-01,223729.0207183722,222099.1233641985,225457.9573221628
2026-05-01,225982.66791518056,224339.96188644166,227711.67916003638
2026-06-01,225360.52520608887,223777.09751768853,227087.93704802345
2026-07-01,223500.16369856117,221692.43858727714,225049.7019846357
2026-08-01,222135.1541312618,220491.08799614865,223796.2130446779
2026-09-01,221301.02041164518,219659.48355792477,222876.1914184449
2026-10-01,222597.3373318433,220820.00551704806,224232.20804665796
2026-11-01,222189.17270407078,220444.83343130007,223788.97964521556
2026-12-01,226975.31506024112,225316.2681377323,228636.57355665875
2027-01-01,230769.15320507635,229065.09576557903,232452.85426885338
2027-02-01,236351.9760238289,234585.809401324,238015.07141182933
2027-03-01,239658.69387685187,238030.26403651648,241451.9244125958
2027-04-01,239197.00278015473,237419.07101354955,240803.22438718483
2027-05-01,241373.92030580514,239671.69932538387,242967.32661713948
2027-06-01,240873.74101264437,239278.22416203836,242660.9361048523
