ds,yhat,yhat_lower,yhat_upper
2022-01-01,7475.888241972019,7223.258754488442,7722.858635164925
2022-02-01,7965.369449272624,7707.387918317533,8214.66704531176
2022-03-01,8194.91398138977,7946.175697908621,8446.99206736167
2022-04-01,8412.728127770642,8190.548454300204,8659.055030522835
2022-05-01,8346.846162676575,8103.022051571402,8598.613990478036
2022-06-01,8168.981062899372,7912.516555404915,8407.852653886292
2022-07-01,7892.249682198141,7655.102059542356,8131.08283615723
2022-08-01,7802.198546193805,7584.434997602369,8057.992474476601
2022-09-01,7444.500115730082,7206.624544993168,7699.996909344674
2022-10-01,7557.15913173968,7314.326327146678,7798.481331387684
2022-11-01,7833.953117413546,7575.963655767354,8099.836525110867
2022-12-01,7906.795308592513,7664.4737123683935,8153.028671392833
2023-01-01,8549.608089901049,8312.798797602853,8791.084906072925
2023-02-01,8943.620044251187,8697.373675652063,9196.791987034912
2023-03-01,9316.011834779343,9055.732980417619,9570.40078563202
2023-04-01,9597.681684986675,9358.90764885496,9835.85015775071
2023-05-01,9598.442820138815,9351.833279183038,9844.29230949107
2023-06-01,9359.238099213817,9108.3546864341,9613.863442150303
2023-07-01,8819.52098164959,8596.271843433706,9078.494582655549
2023-08-01,8904.441400080903,8665.010186871386,9148.818412088947
2023-09-01,8494.248006978385,8250.894309853238,8741.347746633815
2023-10-01,8762.118172755354,8516.996033954138,9019.604463644802
2023-11-01,9090.417422355018,8858.642615519815,9328.341230470498
2023-12-01,9026.298596264312,8758.084866056237,9266.236199043224
2024-01-01,9616.894955756421,9380.621714869347,9866.478979465703
2024-02-01,9917.928804865269,9695.909292573735,10134.429476507683
2024-03-01,10446.488898930158,10205.484091003935,10695.644254903573
2024-04-01,10532.653277595684,10278.475557941356,10786.091558342532
2024-05-01,10321.283725412162,10067.033906025054,10562.306400222553
2024-06-01,10252.099519159932,10004.578038973605,10501.595273281799
2024-07-01,10509.671894770683,10238.930254369414,10766.25398505726
2024-08-01,10080.324048030852,9824.384928633179,10344.892547786309
2024-09-01,9830.276756365107,9579.292566608005,10078.807371665467
2024-10-01,9631.298339685334,9383.95971775849,9866.47932891392
2024-11-01,9789.681979439134,9555.254650416551,10026.34459222157
2024-12-01,10125.642583399062,9898.21073903955,10378.554746406877
2025-01-01,10872.121743393333,10620.985472807559,11118.652112730766
2025-02-01,11459.720721233858,11215.033903974323,11708.250885128764
2025-03-01,11549.859342771222,11307.668470283808,11795.994274438537
2025-04-01,11702.365629951144,11444.653835523504,11930.617249588511
2025-05-01,11578.89561420807,11338.164559987017,11832.89545846642
2025-06-01,11471.413733513582,11206.546106328193,11709.041941493797
2025-07-01,11473.761837378364,11230.46866724222,11714.434349270032
2025-08-01,11225.9533328317,10984.19953313555,11486.294325756295
2025-09-01,10935.330647196099,10695.786553125505,11185.651464389271
2025-10-01,10905.344251217422,10656.017023575909,11135.600389575047
2025-11-01,11138.95117864415,10865.838517410682,11394.402112228761
2025-12-01,11358.130715896308,11108.755599149248,11624.643436801709
2026-01-01,12066.280338881375,11817.985848320253,12307.194143641496
2026-02-01,12569.16121960836,12311.086088975808,12803.495657607118
2026-03-01,12810.808682563827,12566.351752660901,13075.721342335415
2026-04-01,13042.022502408354,12824.294882623471,13300.166014807395
2026-05-01,12989.10796317072,12746.250530228333,13233.445190029366
2026-06-01,12824.642536777134,12571.468712982127,13082.839528193852
2026-07-01,12560.878581892597,12307.594746972629,12823.697781429017
2026-08-01,12484.227119230734,12258.56932146228,12722.940901822552
2026-09-01,12139.928362178665,11901.452598991422,12381.656110365771
2026-10-01,12265.554804050356,12035.422466668459,12504.693995202471
2026-11-01,12555.74846311608,12294.206344649481,12795.173835520569
2026-12-01,12641.558080106683,12400.469964976295,12883.796227416628
2027-01-01,13297.770534753476,13055.29669434156,13542.455657241275
2027-02-01,13705.182162395024,13459.735373454369,13933.285057714995
2027-03-01,14089.676883616832,13839.831614912875,14313.391453130685
2027-04-01,14384.746407094428,14154.09684145498,14623.428919307084
2027-05-01,14398.474968073093,14147.385437265688,14634.760458323368
2027-06-01,14172.669920502442,13918.30964356815,14432.536373021627
