ds,yhat,yhat_lower,yhat_upper
2022-01-01,31070.22961904927,30748.616569137568,31374.332339603767
2022-02-01,32441.32741073327,32083.35652129618,32778.2097104856
2022-03-01,32877.18396781891,32550.74331717335,33217.60754682688
2022-04-01,32970.556275713054,32609.531259036172,33270.56658979969
2022-05-01,33382.61717176125,33055.49591302377,33713.11357807344
2022-06-01,33213.3825578259,32888.39609598339,33545.77330957404
2022-07-01,32818.94665466808,32509.49466909496,33166.613486655224
2022-08-01,32508.909109769942,32176.031800420227,32848.76586326231
2022-09-01,32303.906297070876,31997.960155149947,32634.523514088978
2022-10-01,32530.762495393086,32197.856030688243,32858.28895333054
2022-11-01,32417.011418372567,32103.278660283715,32750.55042063521
2022-12-01,33337.21848546083,33005.91224399475,33626.06853924163
2023-01-01,34051.45579439417,33725.13896069204,34400.71524154693
2023-02-01,35124.82671699993,34807.529107074006,35453.26657772056
2023-03-01,35771.70286598012,35459.4132744345,36108.845716746066
2023-04-01,35669.02478338619,35338.088460592364,35991.945099911834
2023-05-01,36079.213872743014,35770.16988443762,36407.27430303628
2023-06-01,35949.87010460915,35630.418880446865,36286.911043005566
2023-07-01,35842.43088760266,35524.68057506493,36163.81919732389
2023-08-01,35526.704932045795,35193.501652608924,35855.6067784899
2023-09-01,35081.495671918725,34759.72129751428,35390.59911880498
2023-10-01,35391.02347435323,35061.911830756675,35706.42472774533
2023-11-01,35148.84192834783,34830.782809571465,35468.922890040056
2023-12-01,36212.03466618157,35878.28658612422,36544.378785894296
2024-01-01,37156.40812097565,36842.1522626439,37479.369959201926
2024-02-01,37925.095646477144,37605.15492454658,38241.09297746574
2024-03-01,38291.87621064928,37952.87803992019,38631.25370234989
2024-04-01,38797.34087336481,38480.15684948181,39138.281769240704
2024-05-01,39250.77187654984,38924.40679550958,39579.59136068386
2024-06-01,39040.68424729066,38718.22563568814,39380.625947412314
2024-07-01,38092.647186340466,37767.984666745506,38417.89746349581
2024-08-01,37797.56512667543,37452.02477817641,38125.96975972065
2024-09-01,38096.80100712016,37763.81898314906,38416.36282267618
2024-10-01,38205.842560247205,37879.01759597834,38527.965125197945
2024-11-01,38400.32681087037,38083.212705349826,38743.79973785805
2024-12-01,39051.348443046176,38720.748960463345,39387.87823813082
2025-01-01,39294.10739871516,38957.85657877503,39623.26314958211
2025-02-01,40972.90088252194,40643.16056040801,41288.60611227954
2025-03-01,41221.69574985234,40917.35377933582,41564.61258961081
2025-04-01,41536.771270163554,41185.448293739435,41858.07014198143
2025-05-01,41981.78710506413,41615.760402570886,42309.847764889244
2025-06-01,41804.74206305488,41468.32704055277,42127.34638224071
2025-07-01,41148.50852491237,40803.871975866066,41489.47558615011
2025-08-01,40885.511603873456,40549.473027238244,41232.37532202464
2025-09-01,40968.90670197949,40641.96072819794,41313.36721742787
2025-10-01,41162.542524306875,40822.822676020456,41473.801158813694
2025-11-01,41229.09419094521,40910.14069195725,41545.889633197905
2025-12-01,42038.86939382332,41706.44991186849,42375.794945033675
2026-01-01,42547.04663148087,42221.36526755647,42880.152734567004
2026-02-01,43951.73085760609,43644.630804491084,44267.47714909435
2026-03-01,44417.923549020044,44112.66205889554,44738.99064798683
2026-04-01,44544.882291512324,44235.32675678112,44882.247674353595
2026-05-01,44989.44618867602,44663.87284874534,45300.31771654552
2026-06-01,44853.79800922745,44538.36403758684,45176.14117068416
2026-07-01,44491.865107219455,44164.694047683115,44829.417211789274
2026-08-01,44215.41399684334,43884.96638563943,44539.86924930215
2026-09-01,44043.99761860501,43715.81509918992,44379.3512019835
2026-10-01,44303.35681806924,43972.7384296632,44637.24969945707
2026-11-01,44223.192175559874,43888.851330099766,44546.543822109554
2026-12-01,45175.90224383285,44849.06851119298,45473.966656836994
2027-01-01,45923.72598732408,45603.95993541396,46257.07757176945
2027-02-01,47030.66385361188,46687.84818507304,47352.81925830605
2027-03-01,47694.79184448709,47350.92235820205,48028.029043821836
2027-04-01,47611.21401541785,47302.49550529604,47963.23799593968
2027-05-01,48039.2685412429,47684.37863759951,48345.43136356787
2027-06-01,47928.38572412625,47609.35356458918,48260.34741057716
