ds,yhat,yhat_lower,yhat_upper
2022-01-01,31536.24719275615,31176.20353540604,31880.660442262222
2022-02-01,32929.08007883955,32590.27959135992,33243.05812500492
2022-03-01,33368.96156740659,33046.75880029832,33720.74179639422
2022-04-01,33460.91570221823,33101.11123032254,33803.74380579362
2022-05-01,33880.65412390792,33539.00409683036,34215.8173656297
2022-06-01,33714.44156919936,33377.133003419745,34048.73212563006
2022-07-01,33308.67676406604,32980.01223949112,33655.96959943744
2022-08-01,32995.86205289682,32638.43362372595,33333.65993839138
2022-09-01,32789.967890424006,32472.815407873368,33154.12027067011
2022-10-01,33018.709341671674,32700.10114434299,33347.44722566666
2022-11-01,32901.666580508296,32565.8099521705,33233.922727554076
2022-12-01,33835.101672504425,33482.35265297271,34182.76494787043
2023-01-01,34563.217007529,34231.83645709583,34920.16636571468
2023-02-01,35654.57468507975,35310.69480054443,35976.82651392217
2023-03-01,36307.42510136205,35960.379395680146,36654.99434519453
2023-04-01,36197.60554891091,35870.851490549154,36548.51740670518
2023-05-01,36615.619751754035,36301.1686815162,36961.45176884012
2023-06-01,36489.312606579886,36165.67548838079,36830.69454851526
2023-07-01,36374.61837503635,36044.962936560296,36704.70425004229
2023-08-01,36059.53962347625,35734.753384344614,36412.41002402485
2023-09-01,35608.26087655933,35250.64267915536,35941.81147120956
2023-10-01,35915.66595974501,35573.16370921269,36258.16357029477
2023-11-01,35668.51918464343,35330.450852660746,36010.066347617845
2023-12-01,36747.646946107845,36431.83862250109,37086.908545092774
2024-01-01,37712.8356703281,37395.665491510365,38054.843948096786
2024-02-01,38495.64858267889,38185.3358412366,38860.93823882173
2024-03-01,38860.01494241878,38511.19853856567,39197.88468557562
2024-04-01,39375.74002895152,39045.614489214226,39726.9613788684
2024-05-01,39836.58483306383,39498.85795186381,40176.76963577861
2024-06-01,39629.422059088756,39281.58812994769,39946.254412833434
2024-07-01,38661.68551588084,38341.61008874573,38996.18453739194
2024-08-01,38356.2006936418,38016.65365952248,38701.38911608759
2024-09-01,38664.17817921459,38329.75997619203,38998.16607755527
2024-10-01,38782.9772294313,38462.48256116028,39124.29256029911
2024-11-01,38977.61703856922,38653.959852137086,39295.85091466264
2024-12-01,39637.62719695888,39299.711934196515,39979.92655391471
2025-01-01,39881.14511491228,39556.53680197368,40217.86724547356
2025-02-01,41585.50947777747,41237.97604987806,41918.78816283003
2025-03-01,41836.26493010335,41497.45220224941,42169.985361563515
2025-04-01,42155.604091307556,41804.12054213695,42484.84387390557
2025-05-01,42607.95084820167,42267.24441933664,42986.842740705
2025-06-01,42433.67320098607,42089.05943688057,42743.09125025387
2025-07-01,41761.75039911667,41412.421812748296,42108.6662223891
2025-08-01,41492.948967742275,41141.52094116076,41814.80812826614
2025-09-01,41581.04898564987,41252.70066655246,41938.850177521046
2025-10-01,41781.14675509607,41445.574519237474,42139.7341346837
2025-11-01,41846.749207452696,41504.933195317804,42172.030367155814
2025-12-01,42668.4573340609,42310.967176703816,42997.540431946814
2026-01-01,43184.828451270296,42824.31463964495,43509.37515798623
2026-02-01,44612.10989445635,44265.54969849974,44951.56863906871
2026-03-01,45083.1062087877,44741.060155502164,45430.48738992307
2026-04-01,45209.50890061131,44871.05880913918,45538.7017419954
2026-05-01,45662.58463560974,45332.83739224139,45999.35556206691
2026-06-01,45530.8206379877,45175.125890345786,45875.3837417749
2026-07-01,45158.393146194176,44820.972053917365,45485.25701178534
2026-08-01,44880.02699214333,44565.61484640223,45227.42194829719
2026-09-01,44708.58138726184,44377.93821896291,45064.43688611567
2026-10-01,44970.660152621,44624.32230475164,45324.706340765515
2026-11-01,44888.06594937053,44551.84795512011,45207.73177021817
2026-12-01,45854.83835556025,45532.03337980496,46217.41464299901
2027-01-01,46617.40224858527,46287.551477614565,46982.540362020285
2027-02-01,47743.035910577695,47408.103997251405,48085.10230995626
2027-03-01,48413.93910496205,48071.81043165038,48755.55644029334
2027-04-01,48324.106556836225,48001.85103584581,48677.47658627271
2027-05-01,48761.123179753085,48414.720946548456,49103.89074863951
2027-06-01,48654.45186865521,48317.27014221761,48959.86968824209
