ds,yhat,yhat_lower,yhat_upper
2022-01-01,9919.687417665094,9824.020524452138,10019.603304804377
2022-02-01,10253.931010730737,10156.078962945136,10348.838212048437
2022-03-01,10353.741526374268,10259.840807290657,10442.232388287866
2022-04-01,10472.812246262201,10379.315194101537,10569.782187696039
2022-05-01,10549.442332875935,10456.162903941815,10645.094169202235
2022-06-01,10560.60672192571,10460.594307887055,10654.797725531716
2022-07-01,10537.27557876342,10440.044906439689,10637.235702366443
2022-08-01,10239.880059518915,10140.074301615716,10333.4074499262
2022-09-01,10194.43272295514,10097.29263830013,10292.931116742991
2022-10-01,10280.788186086187,10185.187812145987,10378.30107010983
2022-11-01,10391.175130129819,10291.095310612676,10489.760870484613
2022-12-01,10577.194174349139,10489.456433475696,10671.450021012832
2023-01-01,10877.76216682564,10778.817395267857,10972.980605110273
2023-02-01,11058.83593382255,10958.71513442727,11153.404853247632
2023-03-01,11233.931768905328,11135.53764423193,11327.962674966926
2023-04-01,11454.1894256889,11357.410408419202,11550.86781920726
2023-05-01,11490.622700764658,11395.681323303419,11583.804606300873
2023-06-01,11417.752657120822,11327.27935873947,11515.122931594877
2023-07-01,11560.789934874942,11466.956364583744,11659.204884379242
2023-08-01,11028.213763392247,10940.502935905788,11127.615580009518
2023-09-01,11056.088934008478,10954.770111384178,11143.165862318088
2023-10-01,11177.575587687083,11075.772933418993,11270.809261686605
2023-11-01,11363.507934043133,11266.681081633798,11455.288350134548
2023-12-01,11499.88677292889,11403.016953126227,11591.039267514452
2024-01-01,11815.462588102235,11715.946742426275,11913.197639721013
2024-02-01,11846.017784321126,11753.584673907493,11946.072565124361
2024-03-01,12234.575232721914,12143.509034691015,12331.698984416265
2024-04-01,12143.29600666719,12043.157733192525,12233.631135540367
2024-05-01,12287.886902255752,12199.515651794942,12378.340534080502
2024-06-01,12466.256152658598,12378.104474263857,12559.877414457802
2024-07-01,12100.099362186053,12007.2689753302,12198.382771284925
2024-08-01,12262.035310226707,12165.604698191204,12358.076790445775
2024-09-01,12071.04523174758,11983.586459597725,12163.156059479556
2024-10-01,12081.055944455002,11986.819537232092,12169.503869004118
2024-11-01,12027.51559325542,11935.45273338651,12124.55208737696
2024-12-01,12298.47554089007,12210.544585504827,12399.969596186877
2025-01-01,12555.576494676876,12459.928885236894,12648.278074670514
2025-02-01,13036.127170932517,12935.82698181384,13128.117206260866
2025-03-01,13057.623821934056,12964.944461717656,13148.64690685161
2025-04-01,13066.451745888058,12965.042709425801,13160.09986049187
2025-05-01,13172.99365135507,13080.36709890644,13274.719231914536
2025-06-01,13261.571566380626,13166.628599245028,13354.409508598987
2025-07-01,13062.324706080202,12963.414512416917,13156.610004475764
2025-08-01,12991.847348790003,12895.725501384815,13090.154733219828
2025-09-01,12868.778757358574,12771.970603103597,12968.618051128336
2025-10-01,12913.663769910047,12814.734273491167,13010.347244027074
2025-11-01,12939.770460409109,12851.80884610968,13036.600268398795
2025-12-01,13166.464993073412,13070.552145937274,13257.359378019404
2026-01-01,13443.218939335396,13340.701041910326,13535.540176267976
2026-02-01,13771.251806009133,13679.934868525948,13858.81998972162
2026-03-01,13865.452633298353,13766.775853017269,13956.634482741367
2026-04-01,13978.31262679573,13886.03543961745,14074.614623365178
2026-05-01,14048.932333114044,13956.112612263343,14148.380772833514
2026-06-01,14053.885995857709,13950.133081810607,14141.567695624975
2026-07-01,14024.544472330013,13929.197794191678,14123.424384150805
2026-08-01,13720.93822670655,13618.47302551338,13820.921908822686
2026-09-01,13669.280163758009,13572.21121561509,13765.110392039394
2026-10-01,13749.818725618503,13654.462041954579,13842.6997596154
2026-11-01,13854.194871681782,13760.500130003433,13949.517445650143
2026-12-01,14034.484297454133,13939.271409270757,14129.302527609258
2027-01-01,14329.131684200971,14241.87845378578,14423.303501216227
2027-02-01,14505.527147864052,14418.498421786322,14604.539512495854
2027-03-01,14676.455566862296,14579.105861129709,14772.7911244126
2027-04-01,14892.099298695559,14797.648209875544,14981.296980479385
2027-05-01,14924.067485049236,14827.571284966552,15023.886745226935
2027-06-01,14846.583516392522,14758.252190285193,14934.268451786487
