ds,yhat,yhat_lower,yhat_upper
2022-01-01,1362.9907864583097,1323.9795003491058,1400.7689823930368
2022-02-01,1432.2541064444408,1395.9676800701252,1469.655233143735
2022-03-01,1532.770366820554,1491.9309513926175,1570.9677460822904
2022-04-01,1516.6517026304452,1479.6303022320772,1557.4097692277176
2022-05-01,1526.97537744877,1489.3860222227197,1564.1851822053347
2022-06-01,1496.630401318655,1460.398855213383,1534.5701344042943
2022-07-01,1458.4905266753744,1421.2382161684227,1495.1943155554263
2022-08-01,1400.789458918366,1361.9501933212746,1439.3505006267978
2022-09-01,1393.8787463658584,1354.4735108727616,1429.187253019345
2022-10-01,1360.1858882538395,1319.733316551881,1398.5602419283389
2022-11-01,1425.9333717938748,1388.7231139619041,1462.902480902554
2022-12-01,1517.187387512448,1481.34647393504,1554.80936020352
2023-01-01,1561.9493064173494,1526.292270030362,1600.397925043392
2023-02-01,1644.2938400777489,1604.902381004457,1680.7147644308193
2023-03-01,1754.1490172130839,1716.7294655418937,1791.2796758813658
2023-04-01,1747.35919662502,1710.048881286474,1787.3216120804127
2023-05-01,1745.5313666153,1705.9419087231138,1783.135108989938
2023-06-01,1724.9988611401402,1689.9054642642484,1760.2936518508864
2023-07-01,1657.4945379148155,1620.8700998856448,1699.7252646444374
2023-08-01,1608.359558472522,1569.607846556077,1646.067096423292
2023-09-01,1613.5103897108063,1574.9760238154786,1650.1805480188282
2023-10-01,1596.1234276808032,1560.576797497704,1635.2474168290632
2023-11-01,1647.1136265294642,1607.5635475804313,1683.7428432511422
2023-12-01,1736.8521405640113,1698.294834941327,1776.3868061145608
2024-01-01,1759.9198945418539,1722.7152204010283,1797.6182605845258
2024-02-01,1855.7117303219802,1818.0442753048148,1893.1642932935601
2024-03-01,1963.0220751698903,1923.7557721382013,1999.0787098648034
2024-04-01,1927.205370450526,1890.2194763784655,1964.3991637018169
2024-05-01,1960.9087957708118,1921.2710511758637,1997.1283412893774
2024-06-01,1909.9861122233967,1869.9997823602039,1947.3409512744734
2024-07-01,1928.8600760580432,1889.9867036383912,1964.1257622138419
2024-08-01,1853.7158116223425,1813.855665289641,1889.6773001019146
2024-09-01,1820.9564580821539,1782.645481855205,1859.3927548314957
2024-10-01,1751.1979438702979,1715.905692851417,1790.8226234118308
2024-11-01,1842.9841652073947,1805.1861664137496,1882.7376200695671
2024-12-01,1934.5786227379836,1897.7849960969304,1972.5443945245227
2025-01-01,2021.3746648568695,1986.8373901803361,2058.4110483511486
2025-02-01,2075.9464163183134,2039.0302820495724,2112.368026142982
2025-03-01,2165.2310266356335,2126.9028157122475,2200.8701423082503
2025-04-01,2137.4144304321926,2099.849738156468,2173.5264691356383
2025-05-01,2157.6314105021165,2120.4685289613735,2194.531172493736
2025-06-01,2115.137561170191,2077.9209853912034,2151.5294204050006
2025-07-01,2104.4471578505486,2067.1647152058754,2144.4063341111364
2025-08-01,2036.669808914129,1997.8318623398945,2073.0014335761775
2025-09-01,2015.7111646149417,1976.4623190223567,2053.0346943488466
2025-10-01,1963.1914874821039,1925.56784879861,1999.1706650331153
2025-11-01,2041.1338884549784,2004.3774033191312,2079.148931776462
2025-12-01,2131.6562731806816,2094.873149126384,2172.3105908058933
2026-01-01,2196.2693900273725,2155.6495224372024,2234.0380893905926
2026-02-01,2263.4706049340007,2225.903133891269,2300.8599446996286
2026-03-01,2362.124318787121,2325.1136736473227,2399.925560542695
2026-04-01,2343.9435495499756,2304.1164648489143,2382.251153446697
2026-05-01,2352.271638855326,2315.2640076152747,2388.403932631828
2026-06-01,2319.864557695204,2281.9739771122277,2356.7195715312805
2026-07-01,2279.7290975150822,2243.090269669581,2317.632736546755
2026-08-01,2219.965924703346,2183.1204201461296,2257.342623120816
2026-09-01,2210.9933755892516,2170.7272209652906,2248.975533703529
2026-10-01,2175.305919420789,2136.196305955777,2210.8057369909843
2026-11-01,2238.99231830271,2199.263103250743,2278.5615762833672
2026-12-01,2328.2679895166016,2292.366169368363,2366.6899838559198
2027-01-01,2370.98561910005,2333.1230436536034,2410.1696805790807
2027-02-01,2451.29669452632,2411.5625228121808,2491.911073333296
2027-03-01,2559.325151518758,2522.9998176007402,2595.973520245121
2027-04-01,2550.5128907725407,2512.0220286215736,2592.885362250102
2027-05-01,2546.7355976128647,2508.8425007061155,2581.4782251865904
2027-06-01,2524.1886468826797,2486.389340755329,2562.3745564199457
