ds,yhat,yhat_lower,yhat_upper
2022-01-01,4981.177887347769,4788.066182955159,5172.578215311388
2022-02-01,5289.558090173377,5089.904093801851,5480.902057680093
2022-03-01,5428.437469816,5259.7326217157415,5614.324428353429
2022-04-01,5592.814059995316,5409.507702732576,5790.47205245605
2022-05-01,5632.253817551943,5447.069931605705,5818.745661762767
2022-06-01,5553.651096163669,5366.8954970832965,5751.651317616599
2022-07-01,5322.709970596054,5152.787839382075,5509.255835904101
2022-08-01,5142.045873425006,4951.768036242104,5330.138449428626
2022-09-01,5036.373473308737,4834.930717490901,5217.600695632974
2022-10-01,5165.707292149414,4970.005957897499,5357.812013275472
2022-11-01,5255.417801314233,5057.438465393921,5436.950871238036
2022-12-01,5538.036851053476,5346.9216162439825,5711.454731817239
2023-01-01,5736.447476042501,5563.548030867573,5933.019659618465
2023-02-01,6158.257528347994,5972.539593133183,6343.390624189135
2023-03-01,6218.863904718597,6034.377311157356,6419.205320234372
2023-04-01,6388.690610505368,6180.744700434977,6597.011393989315
2023-05-01,6496.716845591576,6299.565234452878,6673.097587956115
2023-06-01,6374.417971350643,6178.206475724004,6576.646379803883
2023-07-01,6061.889652662003,5865.232521968104,6244.856132804678
2023-08-01,5946.835177609519,5771.129020449814,6134.241934996127
2023-09-01,5820.202921390789,5627.129912704194,6009.461947662611
2023-10-01,6057.6371884748,5859.618183158623,6244.15878501736
2023-11-01,5945.966755241374,5752.518335848459,6132.280599870479
2023-12-01,6381.226422306701,6196.87978257329,6574.045852707951
2024-01-01,6448.039922235903,6243.707781518379,6613.898851570312
2024-02-01,6986.782165649738,6791.7639286959475,7188.732605392345
2024-03-01,7079.94107290687,6901.612401330094,7270.004542270215
2024-04-01,7226.14590358169,7032.426445950663,7417.159249307881
2024-05-01,7115.135581829769,6921.605141302659,7299.638104880426
2024-06-01,7107.502348353603,6920.7270763763145,7303.557989400291
2024-07-01,7032.926083978621,6845.877854474579,7225.282628825431
2024-08-01,6713.392240155868,6521.208767083145,6904.881779051708
2024-09-01,6639.187503344064,6451.104910613172,6831.859938278266
2024-10-01,6533.928589323561,6332.5133253603335,6723.735408139988
2024-11-01,7015.143136741985,6815.7610886698685,7208.003957921472
2024-12-01,6984.002526443757,6785.204142355969,7180.306411589145
2025-01-01,7433.770619928603,7246.050956183719,7627.690522047143
2025-02-01,7621.615246254975,7429.714587267532,7820.388404595953
2025-03-01,7830.979282870992,7624.534846037169,8020.231537483948
2025-04-01,7983.58484917471,7796.491561924925,8173.7083258141065
2025-05-01,7946.218597000373,7759.707869598362,8142.201662744059
2025-06-01,7901.958790908258,7713.030671636784,8094.648883314815
2025-07-01,7746.583618515187,7553.680690656662,7945.5914654577
2025-08-01,7493.814624271218,7305.954783164016,7688.5478506477675
2025-09-01,7401.682596094262,7222.79794829987,7596.644715054863
2025-10-01,7412.92732779072,7228.00179786373,7602.211559398402
2025-11-01,7696.361512622278,7498.479022025692,7872.623202406626
2025-12-01,7819.67366943343,7616.32074544992,8009.078902356618
2026-01-01,8141.826517818233,7950.227288790801,8338.472435278272
2026-02-01,8446.190960752578,8254.117035727872,8622.884065112383
2026-03-01,8581.443202429804,8398.595901576724,8766.893623672224
2026-04-01,8741.804032715887,8554.900185248776,8931.698879219453
2026-05-01,8777.35757100422,8590.913562864234,8969.941166533064
2026-06-01,8694.739089705126,8506.552251476816,8882.09024268178
2026-07-01,8459.911744804063,8268.340363481431,8646.835354761715
2026-08-01,8275.231887656582,8078.2047210843975,8456.577751797711
2026-09-01,8165.543727540205,7970.850963104412,8371.81578037802
2026-10-01,8290.991327178697,8120.039892527051,8485.845937037358
2026-11-01,8376.686076502285,8172.499278871766,8581.117861316363
2026-12-01,8655.466582406178,8456.559673225589,8839.218621911334
2027-01-01,8849.910712099143,8649.404239518219,9041.559812717242
2027-02-01,9271.25911809457,9080.10209018556,9461.53900251636
2027-03-01,9331.509088044108,9127.722086394971,9528.020667105066
2027-04-01,9500.941201008503,9320.639671993807,9701.899417136201
2027-05-01,9608.594864376058,9420.179321677419,9797.981058154515
2027-06-01,9485.91099935906,9295.973839753919,9686.954987321862
