ds,yhat,yhat_lower,yhat_upper
2022-01-01,2714.7438304681086,2672.9351365838,2757.802729266158
2022-02-01,2768.5677380574734,2724.505537734726,2813.3884769336523
2022-03-01,2883.6050652841986,2839.086537586115,2925.5995529993966
2022-04-01,2881.966148492672,2837.3119485338493,2923.274437994557
2022-05-01,2946.5192136691076,2903.37180835635,2989.796780407958
2022-06-01,2853.643444178015,2810.390193062664,2893.915584568247
2022-07-01,2858.243136321207,2814.8454580916095,2903.8735969399745
2022-08-01,2761.0914367808487,2715.81018838191,2806.9200009343167
2022-09-01,2695.038171587389,2648.9279520006257,2738.1121613095606
2022-10-01,2734.822025667125,2690.149693847431,2781.0782074112167
2022-11-01,2776.9076740727264,2732.3849014851057,2822.0576003136803
2022-12-01,2839.9711413188197,2797.024309759379,2885.4340980576144
2023-01-01,2967.09593513093,2921.5791037348176,3011.690180682131
2023-02-01,3028.1010646460863,2985.953337379981,3073.7887302511854
2023-03-01,3100.068952330641,3052.7482124545245,3145.8425659260506
2023-04-01,3132.1503761371255,3089.2406832957886,3173.5696169554876
2023-05-01,3220.127726634851,3180.2508237727698,3264.703461943366
2023-06-01,3094.388735036998,3050.6217503744892,3136.8863262507184
2023-07-01,3123.48263580096,3080.2472856440168,3166.117044910583
2023-08-01,2994.963703464603,2951.448566938672,3039.39127932244
2023-09-01,2934.3193468774507,2889.753827939719,2976.0671091850318
2023-10-01,2974.1283669143068,2932.560679687018,3017.3065372758215
2023-11-01,3042.6530404106,2998.410026186937,3083.7639018090613
2023-12-01,3087.539553343525,3045.0884252275837,3133.5085536133174
2024-01-01,3217.8613072199328,3173.902910322276,3260.90131547298
2024-02-01,3283.2655224510145,3240.4528846011094,3325.997298148579
2024-03-01,3440.659063666467,3396.382133608839,3484.432731935762
2024-04-01,3371.2089392725984,3330.45000549256,3416.162077612081
2024-05-01,3383.129260414034,3336.3873900016647,3425.9776887596477
2024-06-01,3351.8151904058386,3305.977665744887,3394.097424259482
2024-07-01,3303.4152092711784,3258.1967603729254,3348.317177585875
2024-08-01,3264.9177730035663,3221.0169979673315,3312.0613697046824
2024-09-01,3185.7826634916396,3141.6103148024167,3230.1446339793156
2024-10-01,3223.025166449585,3177.9332587249864,3266.935254301195
2024-11-01,3207.8390154175627,3166.276228210236,3249.5759680057486
2024-12-01,3302.471260190482,3259.9144163824103,3344.3649289459795
2025-01-01,3419.6392339542213,3379.873935894801,3461.1671946761153
2025-02-01,3462.4096654317655,3420.660583390178,3503.51790404992
2025-03-01,3617.8944217022345,3573.402174607212,3660.6779971240744
2025-04-01,3579.7988586995525,3534.629758489743,3626.017759570101
2025-05-01,3616.7416287893666,3574.8127576117313,3660.690121705885
2025-06-01,3552.987584308443,3507.9930820428235,3594.1934175584274
2025-07-01,3529.459393462708,3485.5816629205765,3572.534147568063
2025-08-01,3456.408469665294,3412.70330456082,3498.140657035326
2025-09-01,3378.275829467812,3336.1518095451725,3421.9446875691065
2025-10-01,3411.4820549956753,3367.172691022846,3454.2821786408745
2025-11-01,3419.7454602746884,3376.8171015250678,3464.607706753511
2025-12-01,3493.7045994528285,3447.5867961340623,3537.349579328669
2026-01-01,3610.5652052731193,3570.5682805515285,3655.01279343717
2026-02-01,3657.3878317765425,3611.2677494772774,3699.5224337243144
2026-03-01,3766.1014212483233,3724.9387244559557,3810.335713957615
2026-04-01,3757.4612233586386,3715.3154790894505,3800.604966099467
2026-05-01,3815.238855198587,3773.045658614888,3857.1079564179267
2026-06-01,3715.361804592749,3672.355884351632,3757.561005479921
2026-07-01,3713.186063409231,3669.955629653659,3756.8322973178624
2026-08-01,3609.033082764586,3568.28214714131,3651.1556177948546
2026-09-01,3535.9785365568605,3492.2019916471636,3576.949831724447
2026-10-01,3569.0012144730003,3526.6665826711524,3610.608712643997
2026-11-01,3604.1003141761103,3561.0602743018912,3645.1290225863218
2026-12-01,3660.432354262697,3615.174258395877,3705.4104052613106
2027-01-01,3780.6013400098236,3737.928431277726,3825.698846668173
2027-02-01,3834.664093642699,3790.3213586483625,3875.963584685429
2027-03-01,3900.367383814749,3854.4417819670493,3940.7045011401733
2027-04-01,3925.5130032327684,3882.7981009842642,3967.3958535633737
2027-05-01,4006.807196781877,3962.033153747229,4050.2834342421575
2027-06-01,3874.1622763371215,3830.6423596817244,3918.5209621294675
