ds,yhat,yhat_lower,yhat_upper
2022-01-01,25809.43641750368,25650.668554919743,25959.76201368471
2022-02-01,26460.06027380262,26294.78502130845,26612.81410026363
2022-03-01,26836.66473426665,26677.284875105954,26988.85722014367
2022-04-01,27179.152145128308,27027.073339457398,27337.805883011508
2022-05-01,27269.238576016083,27105.111856929754,27428.17937868103
2022-06-01,27203.995404193876,27040.38970111141,27355.49543316866
2022-07-01,26902.58032271948,26747.172127905455,27051.818939586457
2022-08-01,26757.64961529438,26604.200526051296,26915.325514101267
2022-09-01,26441.176599803097,26286.04636414766,26593.70597140715
2022-10-01,26567.532991588356,26407.192076827338,26733.08887277374
2022-11-01,26699.893530816036,26537.625063151227,26873.737588165346
2022-12-01,27321.275508573028,27158.912452161305,27477.656373219015
2023-01-01,28093.460577204507,27936.859839300523,28244.2155476567
2023-02-01,28680.47288575901,28510.982264926326,28854.77017825672
2023-03-01,29089.18548052661,28926.391225498723,29252.91346643233
2023-04-01,29523.795819044906,29365.203081692613,29675.80730045046
2023-05-01,29503.607501158516,29337.791060770247,29651.746618961093
2023-06-01,29474.73494683559,29309.74911965576,29628.888923097147
2023-07-01,29259.353039107293,29111.399471515346,29418.456909948487
2023-08-01,29032.38584730223,28868.70267554478,29178.232452639426
2023-09-01,28553.953255467408,28411.2105851557,28715.723247567817
2023-10-01,28985.365383270153,28830.946526291194,29147.97934846221
2023-11-01,29059.095210548257,28908.87252246982,29216.23033818841
2023-12-01,29533.587213249586,29379.010139572456,29678.838244475068
2024-01-01,30404.23918477312,30248.826011391477,30569.9479287965
2024-02-01,30925.146367300054,30774.34378629838,31089.650885118845
2024-03-01,31449.7568340551,31289.687461779093,31610.86281276392
2024-04-01,31626.146194305165,31472.029359960205,31787.762363136102
2024-05-01,31957.10186638258,31799.749568772542,32121.470685337812
2024-06-01,31847.78911667291,31698.681268711756,32010.640313134398
2024-07-01,31392.503342752712,31230.185869274395,31551.843030163214
2024-08-01,31428.581452450544,31274.085414221427,31580.651767878593
2024-09-01,31473.646364493292,31319.661781711773,31633.61774050334
2024-10-01,31008.767110466975,30838.28533056962,31150.85771971552
2024-11-01,31258.69984134746,31096.967236100103,31413.624759898878
2024-12-01,32171.95397630979,32019.234995561208,32331.8910619639
2025-01-01,32745.926528080254,32596.1738381849,32917.9951586322
2025-02-01,33460.300903660886,33300.048206231506,33619.23629111026
2025-03-01,33806.891954864564,33648.316516014784,33967.299903940264
2025-04-01,34055.984374266816,33900.766186950255,34217.82082086023
2025-05-01,34236.52927411738,34085.49079987577,34389.67790944454
2025-06-01,34116.95425567558,33954.3106161196,34269.07733779371
2025-07-01,33708.96891206846,33555.33982317995,33865.74653882622
2025-08-01,33666.3531522963,33510.25215819855,33831.75314955801
2025-09-01,33538.990839511076,33384.500342259125,33693.5272128077
2025-10-01,33377.827277071694,33220.05450930041,33540.40392073701
2025-11-01,33580.65090697877,33425.278532216515,33733.15257803798
2025-12-01,34365.73084675972,34201.62637937777,34520.30744406672
2026-01-01,35057.242626504056,34884.22551224189,35217.227510676545
2026-02-01,35726.99716191917,35565.55433834332,35872.26933973236
2026-03-01,36120.8809454563,35967.91822361106,36282.51042258669
2026-04-01,36482.49903453098,36326.73673647683,36640.376930315055
2026-05-01,36591.075633290864,36431.33652645681,36755.14275443256
2026-06-01,36544.93896826957,36393.97450538614,36704.67490739829
2026-07-01,36262.01405443553,36107.5166642548,36426.18734192794
2026-08-01,36136.189853572025,35978.57087172182,36299.98642865975
2026-09-01,35838.79402758121,35684.89225913452,35999.85677536516
2026-10-01,35980.86210065223,35824.968039689964,36135.80574994491
2026-11-01,36129.45804387393,35977.383299688154,36283.97611966526
2026-12-01,36766.551702180746,36613.40346943937,36921.27510076829
2027-01-01,37554.972174047,37384.14502867521,37713.263141801595
2027-02-01,38158.219883974074,37990.813385790556,38321.82901204629
2027-03-01,38581.59670994362,38407.549580795465,38771.77221909478
2027-04-01,39032.44244729199,38853.18786382425,39213.89352684185
2027-05-01,39027.5922275124,38832.47409317168,39227.69341799364
2027-06-01,39014.56904123186,38831.22206621052,39196.30386843411
