Sub_Category,Avg_Predicted_Price_Next12M
Artifical Plants,745.005473417883
Beds,47423.1895585675
Ceiling Lights,8823.230438124438
Chandeliers,14290.211843720333
Dining Table,98073.77868199523
Floor Lamps,8202.420804649248
Hanging Lights,6614.274240676733
Recliner Sofas,230576.8875451654
Showpieces,13224.701357250868
Sofa Cum Beds,45890.14816052831
Sofa Sets,46581.218737710056
Stone,174.07744200552938
Study Table,14268.927121384468
Tile,62.86238662234845
Tiles,63.66824295215241
Vases,2371.358268788416
Vinyl,93.73384852190208
Wall Decor,8855.996444089122
Wall Lights,3751.1539049551266
Wardrobes,37373.60518885805
Wood,103.56066549931859
