Date,Category,Sub_Category,Product_Name,Price,Source
1/1/2022,Furniture,Sofa Sets,3 seater,70547.57,Urbanladder.com
2/1/2022,Furniture,Sofa Sets,3 seater,74105.8,Urbanladder.com
3/1/2022,Furniture,Sofa Sets,3 seater,75399.2,Urbanladder.com
4/1/2022,Furniture,Sofa Sets,3 seater,75288.51,Urbanladder.com
5/1/2022,Furniture,Sofa Sets,3 seater,76820.34,Urbanladder.com
6/1/2022,Furniture,Sofa Sets,3 seater,74645.71,Urbanladder.com
7/1/2022,Furniture,Sofa Sets,3 seater,74564.53,Urbanladder.com
8/1/2022,Furniture,Sofa Sets,3 seater,76228.78,Urbanladder.com
9/1/2022,Furniture,Sofa Sets,3 seater,74005.64,Urbanladder.com
10/1/2022,Furniture,Sofa Sets,3 seater,73659.59,Urbanladder.com
11/1/2022,Furniture,Sofa Sets,3 seater,73655.45,Urbanladder.com
12/1/2022,Furniture,Sofa Sets,3 seater,76718.78,Urbanladder.com
1/1/2023,Furniture,Sofa Sets,3 seater,77833.49,Urbanladder.com
2/1/2023,Furniture,Sofa Sets,3 seater,79367.68,Urbanladder.com
3/1/2023,Furniture,Sofa Sets,3 seater,81005.94,Urbanladder.com
4/1/2023,Furniture,Sofa Sets,3 seater,81207.03,Urbanladder.com
5/1/2023,Furniture,Sofa Sets,3 seater,81776.41,Urbanladder.com
6/1/2023,Furniture,Sofa Sets,3 seater,81960.56,Urbanladder.com
7/1/2023,Furniture,Sofa Sets,3 seater,82322.22,Urbanladder.com
8/1/2023,Furniture,Sofa Sets,3 seater,80466.18,Urbanladder.com
9/1/2023,Furniture,Sofa Sets,3 seater,80594.54,Urbanladder.com
10/1/2023,Furniture,Sofa Sets,3 seater,81577.28,Urbanladder.com
11/1/2023,Furniture,Sofa Sets,3 seater,81105.45,Urbanladder.com
12/1/2023,Furniture,Sofa Sets,3 seater,82530.22,Urbanladder.com
1/1/2024,Furniture,Sofa Sets,3 seater,84843.79,Urbanladder.com
2/1/2024,Furniture,Sofa Sets,3 seater,86487.37,Urbanladder.com
3/1/2024,Furniture,Sofa Sets,3 seater,87748.53,Urbanladder.com
4/1/2024,Furniture,Sofa Sets,3 seater,88889.16,Urbanladder.com
5/1/2024,Furniture,Sofa Sets,3 seater,89296.78,Urbanladder.com
6/1/2024,Furniture,Sofa Sets,3 seater,89288.69,Urbanladder.com
7/1/2024,Furniture,Sofa Sets,3 seater,87073.63,Urbanladder.com
8/1/2024,Furniture,Sofa Sets,3 seater,85797.76,Urbanladder.com
9/1/2024,Furniture,Sofa Sets,3 seater,86553.16,Urbanladder.com
10/1/2024,Furniture,Sofa Sets,3 seater,86554.9,Urbanladder.com
11/1/2024,Furniture,Sofa Sets,3 seater,87812.79,Urbanladder.com
12/1/2024,Furniture,Sofa Sets,3 seater,88919.84,Urbanladder.com
1/1/2025,Furniture,Sofa Sets,3 seater,89994.03,Urbanladder.com
2/1/2025,Furniture,Sofa Sets,3 seater,93533.32,Urbanladder.com
3/1/2025,Furniture,Sofa Sets,3 seater,94278.86,Urbanladder.com
