Sub_Category,MAE,RMSE
Artifical Plants,32.84631900806383,36.971234580263655
Beds,477.2151385596462,575.6059001066853
Ceiling Lights,90.09937561416807,109.24984157284611
Chandeliers,362.0563392001921,434.6194011997413
Dining Table,728.9667160875409,1076.516578481658
Floor Lamps,161.25435902068224,183.8701353610482
Hanging Lights,199.97757160804213,225.888813572806
Recliner Sofas,2384.394135408465,2622.790031450093
Showpieces,352.4125813312371,411.6414802635457
Sofa Cum Beds,475.636211002043,525.0328910245515
Sofa Sets,484.38299767385496,534.5511120224513
Stone,0.6231154359690597,0.8164674047864657
Study Table,120.31505226409308,137.183817463705
Tile,0.25589194934366155,0.3130816602170902
Tiles,0.3447574627072676,0.40563479463412866
Vases,32.45314536940251,40.1385971344013
Vinyl,0.7627438001343165,0.837397255033404
Wall Decor,222.64615039147225,263.8008288022299
Wall Lights,50.954823146237196,64.99339314076957
Wardrobes,285.31889038752587,339.50811636146403
Wood,0.7404541320479533,0.9153699131746905
